Q0001,Elizabeth Bennet, Elizabeth,,,
Q0002,Mr. Fitzwilliam Darcy, Mr. Darcy,Darcy,,
Q0003,Mr. Bennet,Bennet,,,
Q0004,Mrs.  Bennet,,,,
Q0005,Jane Bennet, Jane,,,
Q0006,Mary Bennet, Mary,,,
Q0007,Catherine Kitty Bennet, Kitty, Catherine, Catherine Bennet, Kitty Bennet
Q0008,Lydia Bennet, Lydia,,,
Q0009,Charles Bingley, Charles,,,
Q0010,Caroline Bingley, Caroline,,,
Q0011,George Wickham, George,,,
Q0012,Mr.William Collins, Mr. Collins, William,,
Q0013,Lady Catherine de Bourgh,Lady de Bourgh,Catherine de Bourgh,Lady Catherine,
Q0014,Mr. Edward Gardiner, Edward, Mr. Gardiner,,
Q0015,Mrs.  M Gardiner, Mrs.  Gardiner,,,
Q0016,Georgiana Darcy, Georgiana,,,
Q0017,Charlotte Lucas, Charlotte,,,
Q0018,Colonel Fitzwilliam,,,,